subject,status,started_datetime,completed_date_time,time_taken,age,age_group,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
546e3778fdf99b2bc7ebcff6,APPROVED,16/08/2021 11:29,16/08/2021 11:39,613.761,74,Older,2047,7,100,18/08/2021 20:03,68A1D0D8,United States,United States,Other,English,United States,Female,No
5484655ffdf99b07b28f22cc,APPROVED,16/08/2021 10:22,16/08/2021 11:04,2524.717,73,Older,746,2,100,18/08/2021 20:27,68A1D0D8,United States,United States,Full-Time,English,United States,Male,No
55a28851fdf99b602e6b05dd,APPROVED,9/8/2021 22:25,9/8/2021 22:57,1914.545,69,Older,1550,1,100,13/08/2021 20:19,68A1D0D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
55afd54efdf99b4099d5735f,APPROVED,17/08/2021 22:06,17/08/2021 22:35,1731.199,70,Older,481,0,100,22/08/2021 23:34,C89946EC,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,DATA EXPIRED
569298838d93fe000dfa033c,APPROVED,18/08/2021 14:45,18/08/2021 14:46,75.757,70,Older,2647,3,100,22/08/2021 23:40,C89946EC,United States,United States,Part-Time,English,United States,Female,No
574ce0a57fd0ec000db73aa6,APPROVED,16/08/2021 06:05,16/08/2021 06:32,1606.905,70,Older,1777,1,100,18/08/2021 20:00,68A1D0D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
57bf14513c449a000189c89a,APPROVED,9/8/2021 22:34,9/8/2021 23:11,2218.71,68,Older,1369,0,100,13/08/2021 20:20,74637B33,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No
57d435c8ca054400014bac35,APPROVED,16/08/2021 02:39,16/08/2021 03:25,2777.617,75,Older,1276,13,98,18/08/2021 19:59,68A1D0D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
5806ceacf0740c00017892c8,APPROVED,16/08/2021 02:32,16/08/2021 03:05,1979.654,69,Older,1231,4,100,18/08/2021 19:59,68A1D0D8,United States,United States,Unemployed (and job seeking),English,United States,Female,No
583ec287ad2f4300014b355a,APPROVED,17/08/2021 12:04,17/08/2021 12:40,2203.305,65,Older,919,2,100,19/08/2021 14:27,74637B33,United States,United States,Full-Time,English,United States,Male,No
