subject,age_group,topic,statementtype,time_delay,phase1_statement,make_base_beliefs,correction_statement,make_detections,make_test_beliefs,make_cr_response,testresponse,alternateresponse
546e3778fdf99b2bc7ebcff6,older,abortion_bieber,repeated,48.57,abortion_bieber_c.png,6,abortion_bieber_c.png,1,6,0,abortion_bieber_c.png,NA
546e3778fdf99b2bc7ebcff6,older,alabama_senate,repeated,48.57,alabama_senate_c.png,2,alabama_senate_c.png,1,5,1,alabama_senate_o.png,alabama_senate_c_test.png
546e3778fdf99b2bc7ebcff6,older,alaska_polarbears,repeated,48.57,alaska_polarbears_c.png,6,alaska_polarbears_c.png,1,6,1,alaska_polarbears_c.png,alaska_polarbears_m_test.png
546e3778fdf99b2bc7ebcff6,older,amazon_rainforest,repeated,48.57,amazon_rainforest_c.png,5,amazon_rainforest_c.png,1,5,1,amazon_rainforest_m.png,amazon_rainforest_o_test.png
546e3778fdf99b2bc7ebcff6,older,automobile_invention,correct_3,48.57,automobile_invention_m.png,6,automobile_invention_c.png,1,6,0,automobile_invention_m.png,NA
546e3778fdf99b2bc7ebcff6,older,bernie_tax_income,repeated,48.57,bernie_tax_income_c.png,6,bernie_tax_income_c.png,1,6,1,bernie_tax_income_o.png,bernie_tax_income_c_test.png
546e3778fdf99b2bc7ebcff6,older,biden_studentdebt,correct_1,48.57,biden_studentdebt_m.png,2,biden_studentdebt_c.png,1,6,0,biden_studentdebt_o.png,NA
546e3778fdf99b2bc7ebcff6,older,black_homeownership,correct_3,48.57,black_homeownership_m.png,6,black_homeownership_c.png,1,3,0,black_homeownership_m.png,NA
546e3778fdf99b2bc7ebcff6,older,bloomberg_campaign_money,correct_1,48.57,bloomberg_campaign_money_m.png,2,bloomberg_campaign_money_c.png,0,5,0,bloomberg_campaign_money_o.png,NA
546e3778fdf99b2bc7ebcff6,older,brooms_standing,correct_3,48.57,brooms_standing_m.png,2,brooms_standing_c.png,0,6,0,brooms_standing_m.png,NA
546e3778fdf99b2bc7ebcff6,older,cali_fires,repeated,48.57,cali_fires_c.png,1,cali_fires_c.png,0,6,1,cali_fires_o.png,cali_fires_m_test.png
546e3778fdf99b2bc7ebcff6,older,cali_statelaw,correct_3,48.57,cali_statelaw_m.png,5,cali_statelaw_c.png,1,5,1,cali_statelaw_m.png,cali_statelaw_c_test.png
546e3778fdf99b2bc7ebcff6,older,chess_players,repeated,48.57,chess_players_c.png,6,chess_players_c.png,1,3,0,chess_players_o.png,NA
546e3778fdf99b2bc7ebcff6,older,cinderella_castle,repeated,48.57,cinderella_castle_c.png,5,cinderella_castle_c.png,1,5,1,cinderella_castle_c.png,cinderella_castle_m_test.png
546e3778fdf99b2bc7ebcff6,older,clinton_nkorea,correct_3,48.57,clinton_nkorea_m.png,5,clinton_nkorea_c.png,1,4,0,clinton_nkorea_o.png,NA
546e3778fdf99b2bc7ebcff6,older,coffee,correct_3,48.57,coffee_m.png,6,coffee_c.png,1,5,1,coffee_c.png,coffee_m_test.png
546e3778fdf99b2bc7ebcff6,older,coronabeer_covid,correct_1,48.57,coronabeer_covid_m.png,5,coronabeer_covid_c.png,1,5,0,coronabeer_covid_m.png,NA
546e3778fdf99b2bc7ebcff6,older,federal_state_dollars,correct_1,48.57,federal_state_dollars_m.png,2,federal_state_dollars_c.png,1,5,0,federal_state_dollars_c.png,NA
546e3778fdf99b2bc7ebcff6,older,gas_2018,correct_3,48.57,gas_2018_m.png,5,gas_2018_c.png,0,5,0,gas_2018_c.png,NA
546e3778fdf99b2bc7ebcff6,older,guncontrol_warrant,correct_3,48.57,guncontrol_warrant_m.png,1,guncontrol_warrant_c.png,1,5,0,guncontrol_warrant_o.png,NA
546e3778fdf99b2bc7ebcff6,older,immigration_boy_cage,correct_1,48.57,immigration_boy_cage_m.png,2,immigration_boy_cage_c.png,0,6,0,immigration_boy_cage_m.png,NA
546e3778fdf99b2bc7ebcff6,older,liberian_women,correct_3,48.57,liberian_women_m.png,6,liberian_women_c.png,1,5,1,liberian_women_m.png,liberian_women_o_test.png
546e3778fdf99b2bc7ebcff6,older,library_americanflag,correct_1,48.57,library_americanflag_m.png,2,library_americanflag_c.png,0,4,1,library_americanflag_m.png,library_americanflag_c_test.png
546e3778fdf99b2bc7ebcff6,older,mexican_border_crossings,correct_3,48.57,mexican_border_crossings_m.png,2,mexican_border_crossings_c.png,1,5,0,mexican_border_crossings_m.png,NA
546e3778fdf99b2bc7ebcff6,older,military_pay,repeated,48.57,military_pay_c.png,5,military_pay_c.png,1,4,0,military_pay_o.png,NA
546e3778fdf99b2bc7ebcff6,older,missing_people,correct_1,48.57,missing_people_m.png,0,missing_people_c.png,0,5,0,missing_people_o.png,NA
546e3778fdf99b2bc7ebcff6,older,murder_year,correct_3,48.57,murder_year_m.png,5,murder_year_c.png,1,5,0,murder_year_m.png,NA
546e3778fdf99b2bc7ebcff6,older,obama_website,repeated,48.57,obama_website_c.png,5,obama_website_c.png,1,5,1,obama_website_c.png,obama_website_o_test.png
546e3778fdf99b2bc7ebcff6,older,pope_guncontrol,repeated,48.57,pope_guncontrol_c.png,5,pope_guncontrol_c.png,1,3,0,pope_guncontrol_m.png,NA
546e3778fdf99b2bc7ebcff6,older,pres_vacation,correct_1,48.57,pres_vacation_m.png,2,pres_vacation_c.png,0,6,0,pres_vacation_o.png,NA
546e3778fdf99b2bc7ebcff6,older,race_starbucks,repeated,48.57,race_starbucks_c.png,2,race_starbucks_c.png,0,6,1,race_starbucks_m.png,race_starbucks_o_test.png
546e3778fdf99b2bc7ebcff6,older,rep_control,correct_1,48.57,rep_control_m.png,2,rep_control_c.png,0,5,0,rep_control_c.png,NA
546e3778fdf99b2bc7ebcff6,older,rural_hospitals,correct_1,48.57,rural_hospitals_m.png,2,rural_hospitals_c.png,1,4,0,rural_hospitals_c.png,NA
546e3778fdf99b2bc7ebcff6,older,skorea_population,repeated,48.57,skorea_population_c.png,6,skorea_population_c.png,1,3,0,skorea_population_c.png,NA
546e3778fdf99b2bc7ebcff6,older,soccer_revenue_gap,correct_1,48.57,soccer_revenue_gap_m.png,2,soccer_revenue_gap_c.png,0,3,0,soccer_revenue_gap_m.png,NA
546e3778fdf99b2bc7ebcff6,older,swimmingpool_deaths,correct_3,48.57,swimmingpool_deaths_m.png,1,swimmingpool_deaths_c.png,0,5,0,swimmingpool_deaths_c.png,NA
546e3778fdf99b2bc7ebcff6,older,tax_allocation,correct_3,48.57,tax_allocation_m.png,1,tax_allocation_c.png,1,5,0,tax_allocation_c.png,NA
546e3778fdf99b2bc7ebcff6,older,tax_pres_law,repeated,48.57,tax_pres_law_c.png,2,tax_pres_law_c.png,1,5,0,tax_pres_law_m.png,NA
546e3778fdf99b2bc7ebcff6,older,test_american_cars,correct_1,48.57,test_american_cars_m.png,2,test_american_cars_c.png,0,2,0,test_american_cars_m.png,NA
546e3778fdf99b2bc7ebcff6,older,trump_signed_legislation,correct_1,48.57,trump_signed_legislation_m.png,6,trump_signed_legislation_c.png,0,6,0,trump_signed_legislation_m.png,NA
546e3778fdf99b2bc7ebcff6,older,us_trading_partner,correct_1,48.57,us_trading_partner_m.png,5,us_trading_partner_c.png,1,4,0,us_trading_partner_o.png,NA
546e3778fdf99b2bc7ebcff6,older,ut_athletes_ipad,correct_3,48.57,ut_athletes_ipad_m.png,5,ut_athletes_ipad_c.png,0,5,0,ut_athletes_ipad_m.png,NA
546e3778fdf99b2bc7ebcff6,older,vaccines_autism,correct_3,48.57,vaccines_autism_m.png,1,vaccines_autism_c.png,1,5,1,vaccines_autism_o.png,vaccines_autism_c_test.png
546e3778fdf99b2bc7ebcff6,older,veteran_suicide,correct_1,48.57,veteran_suicide_m.png,2,veteran_suicide_c.png,0,4,0,veteran_suicide_o.png,NA
546e3778fdf99b2bc7ebcff6,older,voter_turnout,repeated,48.57,voter_turnout_c.png,6,voter_turnout_c.png,1,5,0,voter_turnout_m.png,NA
5484655ffdf99b07b28f22cc,older,abortion_bieber,repeated,49.21,abortion_bieber_c.png,3,abortion_bieber_c.png,0,4,0,abortion_bieber_o.png,NA
5484655ffdf99b07b28f22cc,older,alabama_senate,repeated,49.21,alabama_senate_c.png,4,alabama_senate_c.png,0,4,1,alabama_senate_o.png,alabama_senate_m_test.png
5484655ffdf99b07b28f22cc,older,alaska_polarbears,repeated,49.21,alaska_polarbears_c.png,4,alaska_polarbears_c.png,0,4,0,alaska_polarbears_c.png,NA
5484655ffdf99b07b28f22cc,older,amazon_rainforest,repeated,49.21,amazon_rainforest_c.png,4,amazon_rainforest_c.png,0,4,0,amazon_rainforest_c.png,NA
5484655ffdf99b07b28f22cc,older,automobile_invention,correct_3,49.21,automobile_invention_m.png,2,automobile_invention_c.png,1,5,1,automobile_invention_c.png,automobile_invention_m_test.png
5484655ffdf99b07b28f22cc,older,bernie_tax_income,repeated,49.21,bernie_tax_income_c.png,4,bernie_tax_income_c.png,0,4,0,bernie_tax_income_c.png,NA
5484655ffdf99b07b28f22cc,older,biden_studentdebt,correct_1,49.21,biden_studentdebt_m.png,3,biden_studentdebt_c.png,0,4,0,biden_studentdebt_c.png,NA
5484655ffdf99b07b28f22cc,older,black_homeownership,correct_3,49.21,black_homeownership_m.png,4,black_homeownership_c.png,1,4,1,black_homeownership_c.png,black_homeownership_m_test.png
5484655ffdf99b07b28f22cc,older,bloomberg_campaign_money,correct_1,49.21,bloomberg_campaign_money_m.png,2,bloomberg_campaign_money_c.png,1,5,1,bloomberg_campaign_money_c.png,bloomberg_campaign_money_m_test.png
5484655ffdf99b07b28f22cc,older,brooms_standing,correct_3,49.21,brooms_standing_m.png,2,brooms_standing_c.png,0,4,0,brooms_standing_c.png,NA
5484655ffdf99b07b28f22cc,older,cali_fires,repeated,49.21,cali_fires_c.png,3,cali_fires_c.png,0,4,0,cali_fires_c.png,NA
5484655ffdf99b07b28f22cc,older,cali_statelaw,correct_3,49.21,cali_statelaw_m.png,4,cali_statelaw_c.png,0,4,1,cali_statelaw_c.png,cali_statelaw_m_test.png
5484655ffdf99b07b28f22cc,older,chess_players,repeated,49.21,chess_players_c.png,3,chess_players_c.png,0,4,0,chess_players_c.png,NA
5484655ffdf99b07b28f22cc,older,cinderella_castle,repeated,49.21,cinderella_castle_c.png,3,cinderella_castle_c.png,0,4,0,cinderella_castle_c.png,NA
5484655ffdf99b07b28f22cc,older,clinton_nkorea,correct_3,49.21,clinton_nkorea_m.png,3,clinton_nkorea_c.png,1,4,1,clinton_nkorea_c.png,clinton_nkorea_o_test.png
5484655ffdf99b07b28f22cc,older,coffee,correct_3,49.21,coffee_m.png,4,coffee_c.png,0,4,0,coffee_o.png,NA
