subject,age_group,statementtype,time_delay,phase1_statement,make_base_beliefs,correction_statement,make_detections,make_test_beliefs,testresponse,alternateresponse,make_cr_response,topic,target,alternate,fact_recall_coding_final,alternate_recall_coding_final
53987712fdf99b68e3a45021,younger,correct_1,39.19,abortion_bieber_m.png,4,abortion_bieber_c.png,1,5,pro-life,pro-choice,1,abortion_bieber,steadily been pro life,changed from pro choice to pro life,2,1
53987712fdf99b68e3a45021,younger,correct_1,39.19,alabama_senate_m.png,5,alabama_senate_c.png,1,5,21,30,1,alabama_senate,21 years,30 years,2,1
53987712fdf99b68e3a45021,younger,correct_1,39.19,alaska_polarbears_m.png,2,alaska_polarbears_c.png,1,6,endangered species,thriving,1,alaska_polarbears,listed as an endangered species,numbers are strong and healthy,2,1
53987712fdf99b68e3a45021,younger,correct_1,39.19,amazon_rainforest_m.png,4,amazon_rainforest_c.png,1,5,7%,20%,1,amazon_rainforest,0.06,0.2,E,1
53987712fdf99b68e3a45021,younger,repeated,39.19,automobile_invention_c.png,2,automobile_invention_c.png,0,6,europe,NA,0,automobile_invention,europeans,americans,2,
53987712fdf99b68e3a45021,younger,correct_1,39.19,bernie_tax_income_m.png,2,bernie_tax_income_c.png,1,5,10 million,"$29,000 ",1,bernie_tax_income,">$10,000,000",">$29,000",2,1
53987712fdf99b68e3a45021,younger,correct_3,39.19,biden_studentdebt_m.png,2,biden_studentdebt_c.png,1,5,paying for his children's college tuition,paying for his own college tuition,1,biden_studentdebt,by putting his children through college,by attending college,2,1
53987712fdf99b68e3a45021,younger,repeated,39.19,black_homeownership_c.png,3,black_homeownership_c.png,0,5,2004,NA,0,black_homeownership,2004,2017,2,
53987712fdf99b68e3a45021,younger,correct_3,39.19,bloomberg_campaign_money_m.png,2,bloomberg_campaign_money_c.png,1,5,$1.50 ,1 million,1,bloomberg_campaign_money,$1.50 ,1 million,2,1
53987712fdf99b68e3a45021,younger,repeated,39.19,brooms_standing_c.png,4,brooms_standing_c.png,0,5,if the bristles are separated just right,NA,0,brooms_standing,when the bristles are spread just right,when the earth's gravitational pull is just right,2,
53987712fdf99b68e3a45021,younger,correct_1,39.19,cali_fires_m.png,4,cali_fires_c.png,1,4,lack of rain,poor forest management,1,cali_fires,downed electric power lines,bad forest management,E,1
53987712fdf99b68e3a45021,younger,repeated,39.19,cali_statelaw_c.png,5,cali_statelaw_c.png,0,5,water companies,NA,0,cali_statelaw,water agencies,homeowners,2,
53987712fdf99b68e3a45021,younger,correct_1,39.19,chess_players_m.png,2,chess_players_c.png,1,6,90,0,1,chess_players,90,0,2,1
53987712fdf99b68e3a45021,younger,correct_1,39.19,cinderella_castle_m.png,3,cinderella_castle_c.png,1,5,hurricane shelter,deconstructed in a hurricane,1,cinderella_castle,can withstand hurricane-force winds,can be disassembled in the event of a hurricane,E,1
53987712fdf99b68e3a45021,younger,repeated,39.19,clinton_nkorea_c.png,4,clinton_nkorea_c.png,0,5,$1.9 billion,$3 billion,1,clinton_nkorea,1.4 billion,3 billion,E,1
53987712fdf99b68e3a45021,younger,repeated,39.19,coffee_c.png,5,coffee_c.png,0,6,15,NA,0,coffee,15th,2nd,2,
53987712fdf99b68e3a45021,younger,correct_3,39.19,coronabeer_covid_m.png,3,coronabeer_covid_c.png,1,5,increased them,decreased them,1,coronabeer_covid,sharp increase,sharp decrease,2,1
53987712fdf99b68e3a45021,younger,correct_3,39.19,federal_state_dollars_m.png,4,federal_state_dollars_c.png,1,6,california,virginia,1,federal_state_dollars,california,virginia,2,1
