date,time,group,subject,Age_Group,session,build,DOB_response,DOB_latency,Age_response,Age_latency,Sex_response,Sex_latency,Handedness_response,Handedness_latency,English_Langauge_response,English_Langauge_latency,Ethnicity_response,Ethnicity_latency,Raceoption_response,Raceoption1_latency,Education_Years_response,Education_Years_latency,Education_Attainment_response,Education_Attainment_latency,Technical_Difficultiesoption1_response,Technical_Difficultiesoption1_latency,Technical_Difficultiesoption2_response,Technical_Difficultiesoption2_latency,Technical_Difficultiesother_response,Technical_Difficultiesother_latency
2021-11-16,20:13:01,1,61362d6948d613a7ac12f5c5,Younger,1,6.5.1,4021997,35984,24,35984,Female,35984,Right hand,35984,Yes,35984,Not Hispanic or Latino,35928,Black or African American,35928,18 (six years of college),35928,Bachelors,35928,"No, I had no technical difficulties",35928,,35928,,35928
2021-11-16,20:47:00,1,6118bc3697553df24b86ad7d,Younger,1,6.5.1,9041998,29246,23,29246,Male,29246,Right hand,29246,Yes,29246,Unknown,32331,Some other race (please describe)Mixed Race,32331,14 (two years of college),32331,Diploma/GED,32331,"No, I had no technical difficulties",32331,,32331,,32331
2021-12-07,09:50:09,1,5f1201f1c1ac1410a8f39a21,Younger,1,6.5.1,5021997,12539,24,12539,Female,12539,Right hand,12539,Yes,12539,Not Hispanic or Latino,11588,South Asian,11588,17 (five years of college),11588,Masters,11588,"No, I had no technical difficulties",11588,,11588,,11588
2021-12-07,08:49:02,1,61107313f8a8c5d8adc23703,Younger,1,6.5.1,12112001,27403,19,27403,Female,27403,Left hand,27403,Yes,27403,Hispanic or Latino,35265,American Indian/Alaska Native,35265,13 (one year of college),35265,Diploma/GED,35265,"No, I had no technical difficulties",35265,,35265,,35265
2021-12-07,15:01:14,1,61607fcdcefefeb3b0803e42,Younger,1,6.5.1,6122002,146922,19,146922,Male,146922,Right hand,146922,Yes,146922,Not Hispanic or Latino,46821,White,46821,14 (two years of college),46821,Associates,46821,"No, I had no technical difficulties",46821,,46821,,46821
2021-12-07,07:11:44,1,5f117a19d614293b07fdb9cf,Younger,1,6.5.1,5192002,23354,19,23354,Female,23354,Right hand,23354,Yes,23354,Not Hispanic or Latino,33693,Some other race (please describe)Sout East Asian,33693,14 (two years of college),33693,Diploma/GED,33693,"No, I had no technical difficulties",33693,,33693,,33693
2021-12-07,10:11:50,1,5b0a38d230d5620001551e0d,Younger,1,6.5.1,3031993,30620,28,30620,Male,30620,Right hand,30620,Yes,30620,Not Hispanic or Latino,25459,White,25459,14 (two years of college),25459,Diploma/GED,25459,"No, I had no technical difficulties",25459,,25459,,25459
2021-12-07,10:14:01,1,61083edafaebb567540700e4,Younger,1,6.5.1,10031999,15775,22,15775,Female,15775,Right hand,15775,Yes,15775,Not Hispanic or Latino,18958,White,18958,16 (four years of college),18958,Bachelors,18958,"No, I had no technical difficulties",18958,,18958,,18958
2021-12-07,10:17:45,1,6172f24376e4b0e5e7e8dd70,Younger,1,6.5.1,12291996,20022,24,20022,Female,20022,Right hand,20022,No,20022,Hispanic or Latino,23444,Some other race (please describe)Hispanic,23444,16 (four years of college),23444,Bachelors,23444,"No, I had no technical difficulties",23444,,23444,,23444
2021-12-07,10:20:37,1,61086072d72c21294fe77825,Younger,1,6.5.1,9291997,32466,24,32466,Female,32466,Right hand,32466,Yes,32466,Not Hispanic or Latino,20798,White,20798,18 (six years of college),20798,Masters,20798,"No, I had no technical difficulties",20798,,20798,,20798
2021-12-07,07:27:38,1,5ee8c7fc15b7921df9c2d2a6,Younger,1,6.5.1,1102002,24571,19,24571,Male,24571,Right hand,24571,Yes,24571,Hispanic or Latino,17614,White,17614,13 (one year of college),17614,Diploma/GED,17614,"No, I had no technical difficulties",17614,,17614,,17614
2021-12-07,10:18:00,1,5dd5db1ded7ea4574c7bc996,Younger,1,6.5.1,8031994,22925,27,22925,Male,22925,Right hand,22925,Yes,22925,Not Hispanic or Latino,16436,Black or African American,16436,16 (four years of college),16436,Bachelors,16436,"No, I had no technical difficulties",16436,,16436,,16436
2021-12-07,07:18:09,1,61729e07e7b9b645c1741ca9,Younger,1,6.5.1,4192002,98399,19,98399,Female,98399,Right hand,98399,Yes,98399,Not Hispanic or Latino,29917,Black or African American,29917,12 (high school),29917,Diploma/GED,29917,"No, I had no technical difficulties",29917,,29917,,29917
2021-12-07,09:25:45,1,5f62bff03a4958215b85d8bf,Younger,1,6.5.1,8281998,39357,23,39357,Male,39357,Right hand,39357,Yes,39357,Not Hispanic or Latino,29768,Black or African American,29768,14 (two years of college),29768,Associates,29768,"No, I had no technical difficulties",29768,,29768,,29768
