"Subject","SubTrial","Phase.Trial.","Belief.RESP","StatementType","TestItem.RESP","OtherAnswer.RESP","CR.RESP","Alternate","Target","Topic","L2.Recall.Class","L1.Recall.Class","CB","HeadlineType","BeliefBase.RESP","Familiarity.RESP","Attention_Sum","RN_Correct","FN_Intrusion","RN_Ambiguous","RN_Error","Check_1","FN_Correct","RN_Intrusion","FN_Ambiguous","FN_Error","Check_2","Correction_Class_2","Correction_Class_3","Cor_Class_FN_Recall","Cor_Class_No_FN_Recall","No_Cor_Class","Memory_Classification"
101,41,"Test",6,"Repeated","prolife",NA,0,"Changed from pro choice to pro life","Stayed Pro life","Abortion_Bieber","2",NA,1,"Repeated",4,3,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,37,"Test",6,"Misinformation_Label","4","60",1,"Third largest export","0.10%","Africa_Revenue","E","E",1,"Misinformation_Label",1,1,5,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
101,30,"Test",6,"Misinformation_Label","23","30",1,"30 years","21 years","Alabama_Senate","E","1",1,"Misinformation_Label",1,6,5,0,0,0,1,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Other"
101,40,"Test",6,"Correction_Misinfo","dwindlingandpoor","goodandhealthy",1,"Numbers are strong and healthy","Listed as an endangered species","Alaska_PolarBears","2","1",1,"Correction_Misinfo",1,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,52,"Test",1,"Misinformation_Label","20",NA,0,"20%","6%","Amazon_Rainforest","1",NA,1,"Misinformation_Label",1,6,5,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
101,24,"Test",6,"Correction_Misinfo","pass","applewatch4",1,"Apple Watch Series 4","AliveCor's KardiaMobile","Apple_Heart_Monitor","E","1",1,"Correction_Misinfo",1,4,5,0,0,0,1,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Other"
101,51,"Test",3,"Correction_Misinfo","europeans","americans",1,"Americans","Europeans","Automobile_Invention","2","1",1,"Correction_Misinfo",6,6,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,50,"Test",6,"Correction","10000","29000",1,">$29,000.",">$10,000,000.","Bernie_Tax_Income","E","1",1,"Correction",1,3,5,0,0,0,1,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Other"
101,27,"Test",6,"Correction","hiskidscolleges","hiscollege",1,"By attending college","By putting his children through college","Biden_StudentDebt","2","1",1,"Correction",4,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,44,"Test",6,"Repeated","2004",NA,0,"2017","2004","Black_Homeownership","2",NA,1,"Repeated",4,4,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,5,"Test",6,"Correction_Misinfo","150","1million",1,"1 million","1.5","Bloomberg_Campaign_Money","2","1",1,"Correction_Misinfo",5,3,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,42,"Test",5,"Correction","thebristlesbeingevenlyspread","attherighttimegraityholdsitup",1,"When the earth's gravitational pull is just right","When the bristles are spread just right","Brooms_Standing","2","1",1,"Correction",1,4,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,28,"Test",6,"Correction","powerlines","poormanagement",1,"Bad forest management","Downed electric power lines","Cali_Fires","2","1",1,"Correction",6,6,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,58,"Test",6,"Misinformation_Label","watercomapnies","people",1,"Homeowners","Water agencies","Cali_Statelaw","2","1",1,"Misinformation_Label",1,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,36,"Test",6,"Misinformation_Label","90","none",1,"0","90","Chess_Players","2","1",1,"Misinformation_Label",1,2,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,26,"Test",6,"Repeated","towithstandahurricane",NA,0,"Can be disassembled in the event of a hurricane","Can withstand hurricane-force winds","Cinderella_Castle","2",NA,1,"Repeated",5,1,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,38,"Test",6,"Correction","newzealand","merica",1,"United States","New Zealand","Cleanest_Air","2","1",1,"Correction",5,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,16,"Test",5,"Correction","14billion","3billion",1,"3 Billion","1.4 Billion","Clinton_Nkorea","2","1",1,"Correction",6,6,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,53,"Test",6,"Repeated","15th",NA,0,"2nd","15th","Coffee","2",NA,1,"Repeated",6,6,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,23,"Test",3,"Correction","itgaveitbettersales","loweredsales",1,"Sharp decrease","Sharp increase","CoronaBeer_COVID","2","1",1,"Correction",5,6,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,12,"Test",4,"Correction_Misinfo","governorsignorance","waterproblem",1,"Flooding","Hesitation to respond by governor","Disease_Illinois","2","1",1,"Correction_Misinfo",4,4,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
