"Subject","SubTrial","Phase.Trial.","Belief.RESP","StatementType","TestItem.RESP","OtherAnswer.RESP","CR.RESP","Alternate","Target","Topic","L2.Recall.Class","L1.Recall.Class","CB","HeadlineType","BeliefBase.RESP","Familiarity.RESP","Attention_Sum","RN_Correct","FN_Intrusion","RN_Ambiguous","RN_Error","Check_1","FN_Correct","RN_Intrusion","FN_Ambiguous","FN_Error","Check_2","Correction_Class_2","Correction_Class_3","Cor_Class_FN_Recall","Cor_Class_No_FN_Recall","No_Cor_Class","Memory_Classification"
101,41,"Test",4,"Repeated","steadilyprolife",NA,0,"Changed from pro choice to pro life","Stayed Pro life","Abortion_Bieber","2",NA,1,"Repeated",2,1,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,37,"Test",5,"Correction_Label","1","ItsaiditwasAfricsthirslargestexportreenue",1,"Third largest export","0.10%","Africa_Revenue","2","1",1,"Correction_Label",3,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,30,"Test",5,"Correction_Label","pass",NA,0,"30 years","21 years","Alabama_Senate","E",NA,1,"Correction_Label",4,5,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
101,40,"Test",5,"Correction_Misinfo","Endangeredspecies","itsaidtheywerehealthyandinlargenumbers",1,"Numbers are strong and healthy","Listed as an endangered species","Alaska_PolarBears","2","1",1,"Correction_Misinfo",3,3,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,52,"Test",5,"Correction_Label","6","20",1,"20%","6%","Amazon_Rainforest","2","1",1,"Correction_Label",4,5,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,24,"Test",4,"Correction_Misinfo","SomethingwithaKandcovsomethingIforgotthename","ItsadAppleSeries4watchwas",1,"Apple Watch Series 4","AliveCor's KardiaMobile","Apple_Heart_Monitor","E","1",1,"Correction_Misinfo",2,1,5,0,0,0,1,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Other"
101,51,"Test",4,"Correction_Misinfo","EUROPEANS","AMERICANS",1,"Americans","Europeans","Automobile_Invention","2","1",1,"Correction_Misinfo",4,3,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,50,"Test",5,"Correction","10000000","29000",1,">$29,000.",">$10,000,000.","Bernie_Tax_Income","2","1",1,"Correction",1,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,27,"Test",4,"Correction","pass",NA,0,"By attending college","By putting his children through college","Biden_StudentDebt","E",NA,1,"Correction",4,1,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
101,44,"Test",5,"Repeated","2004",NA,0,"2017","2004","Black_Homeownership","2",NA,1,"Repeated",4,3,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,5,"Test",4,"Correction_Misinfo","150","Articleorginallysaidhecouldspeeither1millionor100millionIf",1,"1 million","1.5","Bloomberg_Campaign_Money","2","1",1,"Correction_Misinfo",4,2,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,42,"Test",4,"Correction","Ifbroombristleswerejustright","ifearthsgravitationalpulwasjustright",1,"When the earth's gravitational pull is just right","When the bristles are spread just right","Brooms_Standing","2","1",1,"Correction",3,4,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,28,"Test",4,"Correction","powerelectriclines","Itsaidpoorforrestmanagement",1,"Bad forest management","Downed electric power lines","Cali_Fires","2","1",1,"Correction",3,4,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,58,"Test",1,"Correction_Label","PASS",NA,0,"Homeowners","Water agencies","Cali_Statelaw","E",NA,1,"Correction_Label",4,1,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
101,36,"Test",5,"Correction_Label","90","TheysaidtheUShadnone",1,"0","90","Chess_Players","2","1",1,"Correction_Label",3,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,26,"Test",4,"Repeated","Towithstandhurricanwinds",NA,0,"Can be disassembled in the event of a hurricane","Can withstand hurricane-force winds","Cinderella_Castle","2",NA,1,"Repeated",2,1,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,38,"Test",5,"Correction","NewZeland","UnitedStaes",1,"United States","New Zealand","Cleanest_Air","2","1",1,"Correction",1,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,16,"Test",4,"Correction","21billion","5billion",1,"3 Billion","1.4 Billion","Clinton_Nkorea","E","E",1,"Correction",4,1,5,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
101,53,"Test",5,"Repeated","15th",NA,0,"2nd","15th","Coffee","2",NA,1,"Repeated",4,2,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,23,"Test",5,"Correction","CoViD19increasedcoronabeersales","Covid19decreasedsales",1,"Sharp decrease","Sharp increase","CoronaBeer_COVID","2","1",1,"Correction",5,3,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,12,"Test",4,"Correction_Misinfo","Thegoernmentorgobeinghesistant","IforgotthexactdetailsbutIknowitchanged",1,"Flooding","Hesitation to respond by governor","Disease_Illinois","2","E",1,"Correction_Misinfo",2,1,5,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
101,1,"Test",3,"Repeated","Itconsumeslessthanitproduces",NA,0,"More produced","More consumed","Energy_Independence","1",NA,1,"Repeated",2,1,5,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
101,7,"Test",4,"Correction_Label","california","ItsadVirginawastheNo1recipient",1,"Virginia","California","Federal_State_Dollars","2","1",1,"Correction_Label",3,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,18,"Test",4,"Correction","15","20",1,"Rose 25%","Rose 15%","Gas_2018","2","E",1,"Correction",3,6,5,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
101,31,"Test",4,"Repeated","Globalwarmingisincreasingsnowfallbies",NA,0,"Outweighs melting","Does not outweigh melting","Global_Warming_Antarctica","A",NA,1,"Repeated",4,3,5,0,0,1,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
101,25,"Test",4,"Correction_Label","13","25",1,"25%","13%","GunControl_Background","2","1",1,"Correction_Label",5,4,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
